time,31S,32S,33S,34S,34X,35S,36S,CRP,DAP,DEF,DXD,DXT,MDM,MTU,MVP,NAP,NDE,NXA,ODG,TCG
2021-08-01,3.8,1.6,1.9,0.8,0.5,1.2,0.8,1.1,0.8,1.0,1.4,1.6,1.4,1.3,2.4,0.1,0.9,1.2,0.9,0.9
2021-09-01,2.8,2.3,1.8,1.4,0.5,2.1,0.8,1.1,0.8,0.6,1.5,1.8,1.5,1.5,2.2,-0.2,0.9,1.5,1.0,0.9
2021-10-01,3.6,2.0,1.4,0.4,1.6,1.9,-0.2,1.4,0.2,0.7,1.1,1.7,1.0,1.2,-0.6,-0.2,0.7,1.3,1.3,0.7
2021-11-01,4.1,1.8,1.8,0.8,0.8,1.5,0.6,1.1,0.8,0.6,1.5,1.8,1.4,1.4,0.6,0.5,1.2,1.6,1.4,1.1
2021-12-01,3.2,1.5,1.4,1.4,-0.3,2.9,0.1,0.1,-0.6,1.0,1.2,1.7,1.2,1.2,1.5,-1.0,0.6,1.4,1.0,0.6
2022-01-01,-0.2,0.9,1.1,0.6,1.1,2.3,0.4,-0.3,1.3,0.6,0.8,0.9,0.7,0.7,0.9,0.1,0.7,1.0,1.2,0.7
2022-02-01,2.2,0.8,1.5,-0.1,0.7,1.6,0.1,0.3,-1.0,-0.8,0.8,1.1,0.7,0.8,0.2,0.2,1.0,1.3,0.8,0.8
2022-03-01,1.8,-0.7,1.6,0.7,0.4,0.7,1.0,1.8,0.6,0.8,0.9,0.8,0.9,0.8,1.5,0.6,1.1,1.3,0.6,1.0
2022-04-01,0.6,0.8,1.2,0.6,0.6,1.5,0.3,0.4,0.3,0.7,0.8,1.0,0.8,0.7,0.6,0.0,0.5,0.9,1.2,0.6
2022-05-01,1.1,0.6,1.2,0.1,0.0,1.4,0.2,2.2,-0.1,0.2,0.6,0.7,0.6,0.5,0.3,-0.2,0.4,0.7,0.4,0.4
2022-06-01,1.3,0.1,0.9,0.8,0.5,0.1,0.2,-1.1,1.8,1.2,0.5,0.7,0.5,0.6,0.3,-0.4,0.4,0.8,0.8,0.5
2022-07-01,-0.2,0.3,1.2,0.4,0.5,0.7,0.2,1.2,0.5,0.7,0.4,0.5,0.4,0.4,0.2,0.3,0.7,0.8,0.5,0.7
2022-08-01,-0.4,0.3,0.8,0.1,-0.3,0.6,-0.1,1.8,-1.4,0.2,0.2,0.3,0.2,0.1,0.2,-0.5,0.3,0.6,0.2,0.3
2022-09-01,0.1,0.0,1.1,0.6,0.5,0.4,0.0,-1.0,-0.7,-0.9,0.4,0.5,0.3,0.3,0.5,-0.3,0.6,1.0,0.2,0.4
2022-10-01,-0.6,-0.3,1.2,0.2,-0.1,0.1,-0.2,0.7,0.2,0.9,0.1,0.2,0.1,0.1,-0.4,-0.4,0.4,0.8,0.2,0.4
2022-11-01,-1.8,-0.2,0.1,0.0,0.0,0.9,0.0,-0.3,0.4,0.8,-0.2,-0.2,-0.1,-0.1,0.1,-0.5,0.1,0.2,-0.1,0.1
2022-12-01,0.3,0.0,1.2,0.2,1.8,1.2,-0.1,-2.6,-0.4,-2.0,0.4,0.5,0.3,0.4,-0.2,0.6,0.7,0.7,0.0,0.4
2023-01-01,-0.2,-0.1,0.4,-0.1,0.6,-0.1,0.5,-1.5,1.2,2.8,0.1,0.0,0.2,0.2,0.2,-0.1,0.2,0.4,-0.1,0.5
2023-02-01,-0.3,-0.2,0.4,-0.3,-1.1,0.2,0.1,-1.2,-0.4,-0.3,0.1,0.0,0.0,0.0,0.5,0.0,0.2,0.2,-0.1,0.1
2023-03-01,-0.7,-0.1,0.4,-0.1,-0.9,0.7,-2.8,1.2,1.0,0.2,-1.0,0.0,-0.9,-1.0,-1.0,-5.5,-1.7,0.4,-0.3,-1.5
2023-04-01,-0.1,-0.3,0.1,-0.1,1.6,0.2,3.1,1.2,0.2,1.1,1.0,0.0,0.9,1.1,0.5,6.2,2.2,0.1,0.0,2.1
2023-05-01,0.3,0.3,0.5,-0.1,-1.0,0.4,0.0,-2.4,0.6,0.3,0.1,0.2,0.1,0.1,0.1,-0.3,0.0,0.2,0.0,0.0
2023-06-01,-0.1,0.3,0.2,-0.3,-0.4,0.3,0.2,-0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.2,0.0,0.0,-0.3,0.0
2023-07-01,-0.6,-0.2,0.1,0.1,0.0,0.0,-0.2,-1.4,-0.5,-0.2,-0.1,0.0,-0.1,-0.1,0.2,-0.4,-0.1,0.1,0.1,-0.1
2023-08-01,0.0,0.1,0.0,0.3,0.0,0.1,0.4,-0.9,-0.2,0.6,0.2,0.1,0.2,0.2,0.2,0.6,0.4,0.2,0.1,0.4
2023-09-01,-0.1,-0.2,0.2,0.0,0.4,-0.1,0.1,0.1,0.2,-0.4,0.1,0.0,0.1,0.0,0.5,0.1,0.2,0.3,0.2,0.2
2023-10-01,-0.5,0.0,-0.1,0.2,0.0,-0.1,0.7,-2.2,-0.2,-0.1,0.2,-0.1,0.2,0.2,1.1,0.6,0.2,-0.1,0.0,0.2
2023-11-01,-0.5,0.1,-0.3,0.2,-0.1,0.1,0.1,0.7,-1.1,1.4,-0.1,-0.1,0.0,0.1,-0.7,0.4,0.1,-0.1,0.0,0.2
2023-12-01,-0.4,-0.3,0.6,0.3,-0.2,-0.4,1.0,2.5,0.6,0.3,0.3,0.0,0.3,0.3,0.1,1.6,0.8,0.5,-0.2,0.7
2024-01-01,-0.5,0.0,0.1,-0.4,-0.5,-0.8,0.7,-1.3,0.4,0.8,0.1,-0.1,0.1,0.1,0.3,1.1,0.2,-0.1,0.2,0.3
2024-02-01,0.6,0.1,-0.1,0.1,0.0,0.1,0.8,-0.5,-0.3,1.4,0.3,0.1,0.3,0.2,1.0,0.6,0.2,-0.1,0.0,0.3
2024-03-01,0.0,-0.1,-0.3,-0.1,0.2,-0.4,0.1,0.5,0.3,0.3,-0.1,-0.1,0.0,0.1,-1.7,1.0,0.3,0.0,0.2,0.3
2024-04-01,-0.1,0.0,-0.1,-0.4,-0.1,0.4,0.5,-1.3,0.4,0.9,0.1,-0.1,0.1,0.2,-0.4,1.1,0.4,0.0,0.0,0.4
2024-05-01,-0.2,-0.1,-0.3,0.1,-0.2,0.1,0.6,-1.8,0.2,0.0,0.2,0.0,0.2,0.3,-0.5,1.4,0.5,0.0,0.3,0.5
2024-06-01,-0.1,0.0,-0.1,-0.3,-0.3,-0.5,-0.2,-1.6,0.6,0.7,-0.1,0.0,-0.1,-0.1,0.1,-0.6,-0.2,0.1,0.3,-0.1
2024-07-01,0.1,0.0,0.0,-0.1,-0.2,-0.3,0.1,-1.4,0.0,-0.3,0.1,0.0,0.1,0.1,0.3,0.2,0.1,0.1,0.3,0.1
2024-08-01,0.0,0.1,0.1,0.2,0.1,-0.2,0.1,-0.3,0.0,0.5,0.1,0.1,0.1,0.2,-0.4,0.3,0.2,0.2,0.1,0.2
